Authors;Abstract Title;Permalink DBLP;Google Scholar Cluster;Google Scholar Citations (as of 15 Feb 2020);Format
Valérie Beaudouin, Zeynep Pehlivan;The Great War on the Web: the Making of Citing and Referencing by Amateurs;https://dblp.org/rec/conf/dihu/BeaudouinP16;https://scholar.google.com/scholar?cluster=5116065516112527925;4;Short Paper
Manuel Burghardt, Lukas Lamm, David Lechler, Matthias Schneider, Tobias Semmelmann;Tool-based Identification of Melodic Patterns in MusicXML Documents;https://dblp.org/rec/conf/dihu/BurghardtLLSS16;https://scholar.google.com/scholar?cluster=14025672038740466450;8;Short Paper
Robert Casties;An Islamic Manuscript Database as a Network of Objects;https://dblp.org/rec/conf/dihu/Casties16;https://scholar.google.com/scholar?cluster=3460395710043249719;1;Short Paper
Christian Chiarcos, Frank Abromeit, Christian Fäth, Maxim Ionov;Etymology Meets Linked Data. A Case Study In Turkic;https://dblp.org/rec/conf/dihu/ChiarcosAFI16;https://scholar.google.com/scholar?cluster=2454620572026951006;3;Short Paper
Frédéric Clavert;#ww1. The Great War on Twitter;https://dblp.org/rec/conf/dihu/Clavert16;https://scholar.google.com/scholar?cluster=2003189352256071817;2;Short Paper
Giovanni Colavizza, Maud Ehrmann, Yannick Rochat;A Method for Record Linkage with Sparse Historical Data;https://dblp.org/rec/conf/dihu/ColavizzaER16;https://scholar.google.com/scholar?cluster=11823409849575514155;3;Short Paper
Mattia Egloff, Davide Picca, Kevin Curran;How IBM Watson Can Help Us Understand Character in Shakespeare: A Cognitive Computing Approach to the Plays;https://dblp.org/rec/conf/dihu/EgloffPC16;https://scholar.google.com/scholar?cluster=4430760873072724044;1;Short Paper
Peter Fankhauser, Jörg Knappen, Elke Teich;Topical Diversification Over Time In The Royal Society Corpus;https://dblp.org/rec/conf/dihu/FankhauserKT16;https://scholar.google.com/scholar?cluster=15256434578764482165;3;Short Paper
Patricia Ferreira Lopes, Francisco Pinto Puerto, Antonio Jiménez-Mavillard, Juan-Luis Suárez;Seeing Andalucia's Late Gothic heritage through GIS and Graphs;https://dblp.org/rec/conf/dihu/LopesPJS16;https://scholar.google.com/scholar?cluster=5565316585399748763;3;Short Paper
Caroline Foster, Erica Pramer, Lauren F. Klein;Repairing William Playfair: Digital Fabrication, Design Theory, and the Long History of Data Visualization;https://dblp.org/rec/conf/dihu/FosterPK16;https://scholar.google.com/scholar?cluster=1373365453728503955;1;Short Paper
Yu Fujimoto, Yasuhiko Horiuchi;Standardized Digital workflow for Archiving Local Knowledge;https://dblp.org/rec/conf/dihu/FujimotoH16;https://scholar.google.com/scholar?cluster=4411504512894384671;1;Short Paper
Ioana Galleron;Playing with French Drama: from Old Research Questions to New Research Tools;https://dblp.org/rec/conf/dihu/Galleron16;https://scholar.google.com/scholar?cluster=15921004625596386641;3;Short Paper
Elena González-Blanco, Gimena del Rio Riande, Clara Martínez Cantón;DH Poetry Modelling: a Quest for Philological and Technical Standardization;https://dblp.org/rec/conf/dihu/Gonzalez-Blanco16;https://scholar.google.com/scholar?cluster=15392640500751720788;1;Short Paper
Till Grallert;The journal _al-Muqtabas_ between _Shamela.ws_, HathiTrust, and GitHub: producing open, collaborative, and fully-referencable digital editions of early Arabic periodicals - with almost no funds;https://dblp.org/rec/conf/dihu/Grallert16;https://scholar.google.com/scholar?cluster=3732174429819029049;1;Short Paper
Martin Grandjean;Archives Distant Reading: Mapping the Activity of the League of Nations' Intellectual Cooperation;https://dblp.org/rec/conf/dihu/Grandjean16;https://scholar.google.com/scholar?cluster=7243875400059103075;2;Short Paper
Harriett Elizabeth Green, Eleanor F. Dickson, Sayan Bhattacharyya;Scholarly Requirements for Large Scale Text Analysis: A User Needs Assessment by the HathiTrust Research Center;https://dblp.org/rec/conf/dihu/GreenDB16;https://scholar.google.com/scholar?cluster=11380612287082823614;1;Short Paper
Adam Hammond, Julian Brooke;Project Dialogism: Toward a Computational History of Vocal Diversity in English-Language Literature;https://dblp.org/rec/conf/dihu/HammondB16;https://scholar.google.com/scholar?cluster=325849291429880885;2;Short Paper
Johannes Hellrich, Udo Hahn;Measuring the Dynamics of Lexico-Semantic Change Since the German Romantic Period;https://dblp.org/rec/conf/dihu/HellrichH16;https://scholar.google.com/scholar?cluster=431654030027025291;6;Short Paper
J. Berenike Herrmann, Gerhard Lauer;KARREK: Building and Annotating a Kafka/Reference Corpus;https://dblp.org/rec/conf/dihu/HerrmannL16;https://scholar.google.com/scholar?cluster=8299999175081470996;1;Short Paper
Charles van den Heuvel, Florentina Armaselu;Invisible Cities In Literature And History: Interfaces To Scalable Readings Of Textual And Visual Representations Of The Imaginary;https://dblp.org/rec/conf/dihu/HeuvelA16;https://scholar.google.com/scholar?cluster=3173780912197857705;1;Short Paper
Armin Hoenen;Silva Portentosissima - Computer-Assisted Reflections on Bifurcativity in Stemmas;https://dblp.org/rec/conf/dihu/Hoenen16;https://scholar.google.com/scholar?cluster=40699471811747287;2;Short Paper
John R. Hott, Worthy N. Martin, Kathleen Flake;Identity Lenses in Analyzing Evolving Social Structures;https://dblp.org/rec/conf/dihu/HottMF16;https://scholar.google.com/scholar?cluster=18141453788979756851;1;Short Paper
Eero Hyvönen, Erkki Heino, Petri Leskinen, Esko Ikkala, Mikko Koho, Minna Tamper, Jouni Tuominen, Eetu Mäkelä;Publishing Second World War History as Linked Data Events on the Semantic Web;https://dblp.org/rec/conf/dihu/HyvonenHLIKTTM16;https://scholar.google.com/scholar?cluster=7269002873890261964;2;Short Paper
Esko Ikkala, Jouni Tuominen, Eero Hyvönen;Contextualizing Historical Places in a Gazetteer by Using Historical Maps and Linked Data;https://dblp.org/rec/conf/dihu/IkkalaTH16;https://scholar.google.com/scholar?cluster=15673204855311481131;11;Short Paper
